date,description,amount,category,subcategory
2024-10-05,RITE AID PHARMACY,78.43,Healthcare,Prescriptions
2025-01-03,TRAVELERS UMBRELLA,32.31,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-09-29,TARGET #1055,167.37,Gifts & Charity,Holiday/birthday gifts
2024-11-15,VENMO FAMILY SUPPORT,341.84,Family & Dependent Support,Routine family financial assistance.
2024-03-31,MUTUAL OF OMAHA LTC,273.58,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-01-02,RITE AID PHARMACY,150.24,Healthcare,Prescriptions
2024-12-08,FIRST BAPTIST CHURCH,316.45,Gifts & Charity,Tithing
2025-01-31,ST JUDE DONATION,483.91,Gifts & Charity,Charitable donations
2024-08-07,PROPERTY TAX ESCROW,2473.83,Housing & Real Estate,Property Taxes
2025-08-22,WALGREENS RX #4657,40.85,Healthcare,Prescriptions
2025-11-21,ETSY.COM ORDER,121.66,Gifts & Charity,Holiday/birthday gifts
2025-01-19,PETCO BIRD SUPPLIES,29.03,Pets,Bird supplies
2024-04-02,T-MOBILE PAYMENT,44.59,Utilities & Communication,Cell phone
2024-03-16,CHIPOTLE #6039,16.06,Food & Dining,Fast food
2025-05-16,MICHAELS STORES #4398,137.43,Entertainment & Leisure,Hobbies
2024-10-12,SPECTRUM INTERNET,52.47,Utilities & Communication,Internet
2025-07-10,APPLE.COM/BILL,16.88,Entertainment & Leisure,Apps/services
2025-11-09,VCA ANIMAL HOSPITAL,475.85,Pets,Vet care
2025-11-15,MEDICARE PREMIUM,122.22,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-07-10,ALLSTATE HOME INS,122.59,Housing & Real Estate,Homeowner's Insurance
2024-08-15,TARGET #207,70.56,Gifts & Charity,Holiday/birthday gifts
2024-04-20,CHICK-FIL-A #4781,15.73,Food & Dining,Fast food
2025-04-18,RITE AID PHARMACY,157.79,Healthcare,Prescriptions
2025-08-29,UNUM DISABILITY,97.5,Insurance (Non-housing/Non-auto),Disability insurance
2024-09-22,COMFORT KEEPERS,967.85,Family & Dependent Support,Elder care support
2025-12-21,PG&E ELECTRIC BILL,227.28,Utilities & Communication,Electricity
2024-04-26,GNC #5358,32.88,Personal Care & Apparel,Supplements/vitamins
2025-01-26,AMEX BILL PAYMENT,1176.8,Debts & Loans,Credit card balances
2025-07-21,USAA HOMEOWNERS,82.11,Housing & Real Estate,Homeowner's Insurance
2024-01-16,PETSMART #628,54.94,Pets,Pet food & supplies
2024-12-28,CHEWY.COM BIRD,50.5,Pets,Bird supplies
2025-11-26,AXS TICKET PURCHASE,296.01,Entertainment & Leisure,Event tickets
2024-05-03,ST MARY'S PARISH TITHE,373.49,Gifts & Charity,Tithing
2025-04-14,7-ELEVEN #5517,4.92,Food & Dining,Snacks & Desserts
2024-07-31,CHEWY.COM BIRD,57.4,Pets,Bird supplies
2025-10-24,THE CHEESECAKE FACTORY,50.4,Food & Dining,Dining out
2024-01-07,CHEWY.COM BIRD,28.08,Pets,Bird supplies
2025-06-08,ULTA BEAUTY #9971,65.4,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-01-15,URGENT CARE CLINIC,200.24,Healthcare,Out-of-pocket medical costs
2025-11-06,SOCALGAS PAYMENT,130.05,Utilities & Communication,Gas
2025-07-18,CITY TRASH COLLECTION,63.89,Utilities & Communication,Trash
2025-07-10,QUEST DIAGNOSTICS,212.82,Healthcare,Out-of-pocket medical costs
2025-05-18,KINDERCARE LEARNING CTR,885.5,Family & Dependent Support,Childcare
2025-01-11,LOCAL BISTRO #5538,52.79,Food & Dining,Dining out
2025-02-11,LOCAL BISTRO #2355,83.54,Food & Dining,Dining out
2025-12-25,SHELL OIL #3792,44.55,Transportation & Vehicle,Gas/fuel
2024-02-23,AT&T FIBER INTERNET,50.52,Utilities & Communication,Internet
2025-05-13,AT&T FIBER INTERNET,89.1,Utilities & Communication,Internet
2024-05-26,EQUINOX CLUB DUES,178.87,Entertainment & Leisure,Gym/club memberships
2024-07-17,IHERB.COM,46.2,Personal Care & Apparel,Supplements/vitamins
2025-11-07,CARNIVAL CRUISE LINE,1624.46,Travel & Vacations,Cruises
2025-05-11,GOOGLE PLAY APPS,13.55,Entertainment & Leisure,Apps/services
2025-06-20,TOYOTA FINANCIAL SVC,617.22,Transportation & Vehicle,Car payments
2024-08-18,REGIONAL MEDICAL CTR,256.63,Healthcare,Out-of-pocket medical costs
2025-09-21,CITY TRASH COLLECTION,31.08,Utilities & Communication,Trash
2025-10-15,ALLIANZ TRAVEL INS,110.79,Travel & Vacations,Travel insurance
2025-04-04,KROGER #4768,169.24,Food & Dining,Groceries
2024-07-29,MARRIOTT HOTELS #977,141.64,Travel & Vacations,Lodging
2025-03-27,DOORDASH*ORDER,23.59,Food & Dining,
2024-01-21,VIATOR TOURS,723.8,Travel & Vacations,Tour packages
2024-08-21,ASSOCIA HOA DUES,287.34,Housing & Real Estate,HOA fees
2024-05-05,MCDONALD'S #5328,9.83,Food & Dining,Fast food
2024-06-17,STARBUCKS #8588,4.38,Food & Dining,Coffee shops
2024-05-09,CITY TRASH COLLECTION,27.42,Utilities & Communication,Trash
2025-07-12,THE HOME DEPOT #6506,49.43,Household,Cleaning supplies
2025-11-18,COSTCO WHOLESALE #5520,26.57,Household,Cleaning supplies
2024-06-07,ASSOCIA HOA DUES,588.23,Housing & Real Estate,HOA fees
2025-10-08,COUNTY TAX COLLECTOR,620.08,Housing & Real Estate,Property Taxes
2024-06-08,PRIVATE SCHOOL TUITION,1459.77,Family & Dependent Support,Child education/tuition
